epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,27810.6,0.23064,1.04167,0.89049,0.48591,0.96165,0.49989,0.4959,0.11451,9.75722,0.71662,0.000742625,0.000742625,0.000742625
43,28455.6,0.22677,1.024,0.89105,0.48953,0.95554,0.49817,0.49685,0.09444,10.85,0.71263,0.00073025,0.00073025,0.00073025
44,29102.1,0.22381,1.02316,0.89074,0.48944,0.944,0.49684,0.49489,0.12126,9.9764,0.72168,0.000717875,0.000717875,0.000717875
45,29749.1,0.22359,1.02835,0.89052,0.42101,0.90956,0.48861,0.48248,0.12978,10.3617,0.73195,0.0007055,0.0007055,0.0007055
46,30404.1,0.21987,1.04078,0.88708,0.47129,0.94776,0.4869,0.46922,0.14024,9.19958,0.72962,0.000693125,0.000693125,0.000693125
47,31039.8,0.21834,1.05232,0.89356,0.47721,0.95395,0.49257,0.48621,0.13867,10.5035,0.73723,0.00068075,0.00068075,0.00068075
48,31733.1,0.21885,1.03821,0.88644,0.4616,0.9313,0.48474,0.47858,0.11522,10.7966,0.73313,0.000668375,0.000668375,0.000668375
49,32449.9,0.21737,1.02718,0.88787,0.4784,0.94851,0.49306,0.49073,0.10315,10.1325,0.71423,0.000656,0.000656,0.000656
50,33142.1,0.21542,1.02305,0.88821,0.48951,0.96841,0.50018,0.49992,0.09087,9.54427,0.71219,0.000643625,0.000643625,0.000643625
51,33771.4,0.21258,1.03415,0.88916,0.49188,0.96699,0.50122,0.50108,0.08307,10.5943,0.71136,0.00063125,0.00063125,0.00063125
52,34403.4,0.21279,1.02259,0.88684,0.48555,0.95504,0.49809,0.49726,0.11209,10.9482,0.72073,0.000618875,0.000618875,0.000618875
53,35034.8,0.21275,0.99188,0.89061,0.42831,0.96532,0.48664,0.48478,0.11931,10.0068,0.71704,0.0006065,0.0006065,0.0006065
54,35667.7,0.20764,1.00741,0.89077,0.48557,0.96853,0.49919,0.49478,0.09979,10.0827,0.72091,0.000594125,0.000594125,0.000594125
55,36241.9,0.21133,0.98585,0.89042,0.48157,0.95716,0.49521,0.49327,0.09031,10.7862,0.71794,0.00058175,0.00058175,0.00058175
56,36803.5,0.20927,1.00345,0.88746,0.48782,0.98433,0.49897,0.49628,0.09564,9.64264,0.7216,0.000569375,0.000569375,0.000569375
57,37364.8,0.20488,1.00459,0.88428,0.49081,0.97225,0.49918,0.49663,0.10312,8.78195,0.71616,0.000557,0.000557,0.000557
58,37925.7,0.19802,0.98269,0.88367,0.48703,0.96643,0.49805,0.49212,0.10066,10.1551,0.72184,0.000544625,0.000544625,0.000544625
59,38493.2,0.20735,0.98984,0.88538,0.47896,0.98387,0.49917,0.497,0.0849,11.2582,0.71572,0.00053225,0.00053225,0.00053225
60,39061,0.207,0.97447,0.88514,0.49413,0.98158,0.50147,0.49713,0.09869,10.2816,0.72076,0.000519875,0.000519875,0.000519875
61,39629.3,0.19727,0.98436,0.88464,0.42527,0.98253,0.49018,0.48173,0.1228,11.2697,0.72599,0.0005075,0.0005075,0.0005075
62,40193.6,0.19698,0.9775,0.88565,0.48413,0.96639,0.49683,0.4918,0.12099,10.2312,0.72363,0.000495125,0.000495125,0.000495125
63,40758.5,0.20183,0.96967,0.88451,0.48917,0.96671,0.49915,0.49786,0.1202,10.4673,0.71876,0.00048275,0.00048275,0.00048275
64,41321.8,0.20026,0.97562,0.88698,0.48886,0.97445,0.4992,0.497,0.08913,11.6715,0.71557,0.000470375,0.000470375,0.000470375
65,41884.8,0.19386,0.96193,0.88499,0.49064,0.97662,0.49748,0.49689,0.09546,10.7388,0.71155,0.000458,0.000458,0.000458
66,42454.5,0.19695,0.97159,0.88609,0.49061,0.97672,0.49932,0.49799,0.10344,10.7973,0.71646,0.000445625,0.000445625,0.000445625
67,43017.1,0.18987,0.97765,0.88437,0.49083,0.98536,0.50005,0.4971,0.10188,10.4142,0.71681,0.00043325,0.00043325,0.00043325
68,43578.1,0.19205,0.9645,0.88462,0.49033,0.98434,0.50153,0.49917,0.09345,10.326,0.71312,0.000420875,0.000420875,0.000420875
69,44075.5,0.18782,0.94225,0.88624,0.48232,0.97121,0.49543,0.4889,0.11696,9.95791,0.72837,0.0004085,0.0004085,0.0004085
70,44575.3,0.1923,0.96829,0.88435,0.4885,0.9744,0.49938,0.49661,0.09862,10.1526,0.71837,0.000396125,0.000396125,0.000396125
71,45065.3,0.18694,0.95603,0.88405,0.48372,0.97151,0.49607,0.48918,0.11267,10.5237,0.72534,0.00038375,0.00038375,0.00038375
72,45555.7,0.18307,0.94126,0.88314,0.49179,0.9855,0.50086,0.49901,0.09431,9.91596,0.71101,0.000371375,0.000371375,0.000371375
73,46049.3,0.18628,0.96631,0.88464,0.49257,0.98752,0.50095,0.49981,0.10026,9.34074,0.71453,0.000359,0.000359,0.000359
74,46541.3,0.1862,0.93602,0.88443,0.49473,0.98816,0.50022,0.49887,0.08837,9.82926,0.71337,0.000346625,0.000346625,0.000346625
75,47032.4,0.18169,0.94336,0.88582,0.4883,0.98086,0.50064,0.49709,0.10256,10.1652,0.72068,0.00033425,0.00033425,0.00033425
76,47610.7,0.18101,0.93998,0.88314,0.49316,0.98174,0.50021,0.49851,0.08529,10.336,0.7139,0.000321875,0.000321875,0.000321875
77,48246.2,0.17927,0.95548,0.88451,0.49532,0.99318,0.50148,0.50128,0.07949,9.97335,0.71032,0.0003095,0.0003095,0.0003095
78,49122.5,0.18233,0.95315,0.88332,0.49441,0.98937,0.50028,0.50012,0.08273,9.94655,0.71267,0.000297125,0.000297125,0.000297125
